"Step","GNN_bp_1 - gene_ap","GNN_bp_1 - gene_ap__MIN","GNN_bp_1 - gene_ap__MAX","GNN_bp_999 - gene_ap","GNN_bp_999 - gene_ap__MIN","GNN_bp_999 - gene_ap__MAX","GNN_bp_42 - gene_ap","GNN_bp_42 - gene_ap__MIN","GNN_bp_42 - gene_ap__MAX","GNN_cp_1 - gene_ap","GNN_cp_1 - gene_ap__MIN","GNN_cp_1 - gene_ap__MAX","GNN_cp_999 - gene_ap","GNN_cp_999 - gene_ap__MIN","GNN_cp_999 - gene_ap__MAX","GNN_cp_42 - gene_ap","GNN_cp_42 - gene_ap__MIN","GNN_cp_42 - gene_ap__MAX","GNN_go_1 - gene_ap","GNN_go_1 - gene_ap__MIN","GNN_go_1 - gene_ap__MAX","GNN_go_999 - gene_ap","GNN_go_999 - gene_ap__MIN","GNN_go_999 - gene_ap__MAX","GNN_go_42 - gene_ap","GNN_go_42 - gene_ap__MIN","GNN_go_42 - gene_ap__MAX","GNN_cgp_1 - gene_ap","GNN_cgp_1 - gene_ap__MIN","GNN_cgp_1 - gene_ap__MAX","GNN_cgp_999 - gene_ap","GNN_cgp_999 - gene_ap__MIN","GNN_cgp_999 - gene_ap__MAX","GNN_cgp_42 - gene_ap","GNN_cgp_42 - gene_ap__MIN","GNN_cgp_42 - gene_ap__MAX"
"20","0.6657735858985775","0.6657735858985775","0.6657735858985775","0.6754955600895369","0.6754955600895369","0.6754955600895369","0.6687495312392352","0.6687495312392352","0.6687495312392352","0.6644530844759152","0.6644530844759152","0.6644530844759152","0.6600092675753291","0.6600092675753291","0.6600092675753291","0.6498562881447957","0.6498562881447957","0.6498562881447957","0.6534670151627594","0.6534670151627594","0.6534670151627594","0.6542444871809394","0.6542444871809394","0.6542444871809394","0.6827304512866109","0.6827304512866109","0.6827304512866109","0.6942755081821671","0.6942755081821671","0.6942755081821671","0.6778461797106525","0.6778461797106525","0.6778461797106525","0.6642893168482287","0.6642893168482287","0.6642893168482287"
"21","0.6858015412319917","0.6858015412319917","0.6858015412319917","0.6403688960644501","0.6403688960644501","0.6403688960644501","0.6675776328542569","0.6675776328542569","0.6675776328542569","0.6765579203519015","0.6765579203519015","0.6765579203519015","0.6752810400038197","0.6752810400038197","0.6752810400038197","0.6802198531135072","0.6802198531135072","0.6802198531135072","0.676402294471026","0.676402294471026","0.676402294471026","0.6988228015171611","0.6988228015171611","0.6988228015171611","0.6860812626177941","0.6860812626177941","0.6860812626177941","0.6840893706261931","0.6840893706261931","0.6840893706261931","0.6497075304805897","0.6497075304805897","0.6497075304805897","0.6601716913276443","0.6601716913276443","0.6601716913276443"
"22","0.6862750624580722","0.6862750624580722","0.6862750624580722","0.6677055192214362","0.6677055192214362","0.6677055192214362","0.6799794986188941","0.6799794986188941","0.6799794986188941","0.6943492394204006","0.6943492394204006","0.6943492394204006","0.6771849399059368","0.6771849399059368","0.6771849399059368","0.6913675464325231","0.6913675464325231","0.6913675464325231","0.7004963481618109","0.7004963481618109","0.7004963481618109","0.7193810140984883","0.7193810140984883","0.7193810140984883","0.6991323118218449","0.6991323118218449","0.6991323118218449","0.7156937884617579","0.7156937884617579","0.7156937884617579","0.6734364999227972","0.6734364999227972","0.6734364999227972","0.7087175870775729","0.7087175870775729","0.7087175870775729"
"23","0.7056925172992046","0.7056925172992046","0.7056925172992046","0.67047596810835","0.67047596810835","0.67047596810835","0.6942834898439892","0.6942834898439892","0.6942834898439892","0.6825096478748789","0.6825096478748789","0.6825096478748789","0.6761255191684807","0.6761255191684807","0.6761255191684807","0.6876004614820797","0.6876004614820797","0.6876004614820797","0.6949365521270326","0.6949365521270326","0.6949365521270326","0.6811057198365753","0.6811057198365753","0.6811057198365753","0.6909886147509323","0.6909886147509323","0.6909886147509323","0.7228198920226231","0.7228198920226231","0.7228198920226231","0.6798755485907887","0.6798755485907887","0.6798755485907887","0.6933311732079881","0.6933311732079881","0.6933311732079881"
"24","0.7086660135397397","0.7086660135397397","0.7086660135397397","0.698958820453038","0.698958820453038","0.698958820453038","0.693653399863175","0.693653399863175","0.693653399863175","0.6935995776436987","0.6935995776436987","0.6935995776436987","0.6958958429500542","0.6958958429500542","0.6958958429500542","0.6704915009667457","0.6704915009667457","0.6704915009667457","0.7097179678927904","0.7097179678927904","0.7097179678927904","0.7336941918894204","0.7336941918894204","0.7336941918894204","0.6936273484058174","0.6936273484058174","0.6936273484058174","0.7291487016472414","0.7291487016472414","0.7291487016472414","0.6956007005181469","0.6956007005181469","0.6956007005181469","0.7096113830336992","0.7096113830336992","0.7096113830336992"
"25","0.7171693208330231","0.7171693208330231","0.7171693208330231","0.7037786464382852","0.7037786464382852","0.7037786464382852","0.7020287758311204","0.7020287758311204","0.7020287758311204","0.7086333138903244","0.7086333138903244","0.7086333138903244","0.7005895236416341","0.7005895236416341","0.7005895236416341","0.7236013900754622","0.7236013900754622","0.7236013900754622","0.7236839394242193","0.7236839394242193","0.7236839394242193","0.7167063840378641","0.7167063840378641","0.7167063840378641","0.7205055976615785","0.7205055976615785","0.7205055976615785","0.723806974055302","0.723806974055302","0.723806974055302","0.6986444924574848","0.6986444924574848","0.6986444924574848","0.7222704527211714","0.7222704527211714","0.7222704527211714"
"26","0.7351755245815227","0.7351755245815227","0.7351755245815227","0.7004443547243145","0.7004443547243145","0.7004443547243145","0.7128460867012991","0.7128460867012991","0.7128460867012991","0.7140237168311531","0.7140237168311531","0.7140237168311531","0.7054374313992774","0.7054374313992774","0.7054374313992774","0.7237404713454811","0.7237404713454811","0.7237404713454811","0.7182455105378446","0.7182455105378446","0.7182455105378446","0.7101810299180656","0.7101810299180656","0.7101810299180656","0.7055895141752863","0.7055895141752863","0.7055895141752863","0.7464012326150967","0.7464012326150967","0.7464012326150967","0.6945895444038461","0.6945895444038461","0.6945895444038461","0.7227289972706323","0.7227289972706323","0.7227289972706323"
"27","0.7311432176576906","0.7311432176576906","0.7311432176576906","0.7089818236318356","0.7089818236318356","0.7089818236318356","0.705299333569402","0.705299333569402","0.705299333569402","0.7168533762518203","0.7168533762518203","0.7168533762518203","0.7166251735441624","0.7166251735441624","0.7166251735441624","0.7103122061507383","0.7103122061507383","0.7103122061507383","0.7142195524645745","0.7142195524645745","0.7142195524645745","0.7274270429144262","0.7274270429144262","0.7274270429144262","0.7270652292689658","0.7270652292689658","0.7270652292689658","0.7385686451339198","0.7385686451339198","0.7385686451339198","0.7194425753091753","0.7194425753091753","0.7194425753091753","0.7244327750955403","0.7244327750955403","0.7244327750955403"
"28","0.7445468170844262","0.7445468170844262","0.7445468170844262","0.7035615598449603","0.7035615598449603","0.7035615598449603","0.7227984263088367","0.7227984263088367","0.7227984263088367","0.7336558616624016","0.7336558616624016","0.7336558616624016","0.7372991182709677","0.7372991182709677","0.7372991182709677","0.7238121397760571","0.7238121397760571","0.7238121397760571","0.7231053855509826","0.7231053855509826","0.7231053855509826","0.7385629956175777","0.7385629956175777","0.7385629956175777","0.7370735003317527","0.7370735003317527","0.7370735003317527","0.7278402694794781","0.7278402694794781","0.7278402694794781","0.7373319015871982","0.7373319015871982","0.7373319015871982","0.7161981013824588","0.7161981013824588","0.7161981013824588"
"29","0.7336496858622907","0.7336496858622907","0.7336496858622907","0.7163921787344886","0.7163921787344886","0.7163921787344886","0.7365328032351168","0.7365328032351168","0.7365328032351168","0.7595651874955144","0.7595651874955144","0.7595651874955144","0.7273684207858161","0.7273684207858161","0.7273684207858161","0.7529051570240373","0.7529051570240373","0.7529051570240373","0.7324611966654608","0.7324611966654608","0.7324611966654608","0.7235463696729054","0.7235463696729054","0.7235463696729054","0.7326360806546051","0.7326360806546051","0.7326360806546051","0.7178175359010791","0.7178175359010791","0.7178175359010791","0.7262649470204061","0.7262649470204061","0.7262649470204061","0.7443159220522091","0.7443159220522091","0.7443159220522091"
