"Step","GNN_bp_1 - assay_ap","GNN_bp_1 - assay_ap__MIN","GNN_bp_1 - assay_ap__MAX","GNN_bp_999 - assay_ap","GNN_bp_999 - assay_ap__MIN","GNN_bp_999 - assay_ap__MAX","GNN_bp_42 - assay_ap","GNN_bp_42 - assay_ap__MIN","GNN_bp_42 - assay_ap__MAX","GNN_cgp_1 - assay_ap","GNN_cgp_1 - assay_ap__MIN","GNN_cgp_1 - assay_ap__MAX","GNN_cgp_999 - assay_ap","GNN_cgp_999 - assay_ap__MIN","GNN_cgp_999 - assay_ap__MAX","GNN_cgp_42 - assay_ap","GNN_cgp_42 - assay_ap__MIN","GNN_cgp_42 - assay_ap__MAX","GNN_go_1 - assay_ap","GNN_go_1 - assay_ap__MIN","GNN_go_1 - assay_ap__MAX","GNN_go_999 - assay_ap","GNN_go_999 - assay_ap__MIN","GNN_go_999 - assay_ap__MAX","GNN_go_42 - assay_ap","GNN_go_42 - assay_ap__MIN","GNN_go_42 - assay_ap__MAX","GNN_cp_1 - assay_ap","GNN_cp_1 - assay_ap__MIN","GNN_cp_1 - assay_ap__MAX","GNN_cp_999 - assay_ap","GNN_cp_999 - assay_ap__MIN","GNN_cp_999 - assay_ap__MAX","GNN_cp_42 - assay_ap","GNN_cp_42 - assay_ap__MIN","GNN_cp_42 - assay_ap__MAX"
"20","0.7664123060573153","0.7664123060573153","0.7664123060573153","0.7510742279794314","0.7510742279794314","0.7510742279794314","0.7658918841002156","0.7658918841002156","0.7658918841002156","0.7605884421209829","0.7605884421209829","0.7605884421209829","0.7548269479787003","0.7548269479787003","0.7548269479787003","0.7591612283185476","0.7591612283185476","0.7591612283185476","0.7638366043471723","0.7638366043471723","0.7638366043471723","0.7508602413545237","0.7508602413545237","0.7508602413545237","0.7606130684927151","0.7606130684927151","0.7606130684927151","0.7509918648797073","0.7509918648797073","0.7509918648797073","0.7491742969297486","0.7491742969297486","0.7491742969297486","0.7533802121233183","0.7533802121233183","0.7533802121233183"
"21","0.7676444259938875","0.7676444259938875","0.7676444259938875","0.7636520154210635","0.7636520154210635","0.7636520154210635","0.771358055349265","0.771358055349265","0.771358055349265","0.7695381384396943","0.7695381384396943","0.7695381384396943","0.7592110283472097","0.7592110283472097","0.7592110283472097","0.7634801009881412","0.7634801009881412","0.7634801009881412","0.7718923537855101","0.7718923537855101","0.7718923537855101","0.7572009892555216","0.7572009892555216","0.7572009892555216","0.7594248039603454","0.7594248039603454","0.7594248039603454","0.7549991866420325","0.7549991866420325","0.7549991866420325","0.7599850737491427","0.7599850737491427","0.7599850737491427","0.7808632384184176","0.7808632384184176","0.7808632384184176"
"22","0.7744462197967263","0.7744462197967263","0.7744462197967263","0.7591148792435567","0.7591148792435567","0.7591148792435567","0.7588616354088703","0.7588616354088703","0.7588616354088703","0.7762727946062288","0.7762727946062288","0.7762727946062288","0.7613464254422888","0.7613464254422888","0.7613464254422888","0.7820608462733669","0.7820608462733669","0.7820608462733669","0.7612560647680803","0.7612560647680803","0.7612560647680803","0.7613499487548937","0.7613499487548937","0.7613499487548937","0.775568373452481","0.775568373452481","0.775568373452481","0.7564370268626598","0.7564370268626598","0.7564370268626598","0.7513292288850711","0.7513292288850711","0.7513292288850711","0.7724327440385512","0.7724327440385512","0.7724327440385512"
"23","0.7768093053820974","0.7768093053820974","0.7768093053820974","0.7450552646181332","0.7450552646181332","0.7450552646181332","0.7745742764691623","0.7745742764691623","0.7745742764691623","0.7773192586611092","0.7773192586611092","0.7773192586611092","0.7661958382431937","0.7661958382431937","0.7661958382431937","0.7760590134727593","0.7760590134727593","0.7760590134727593","0.7688564026522529","0.7688564026522529","0.7688564026522529","0.7649735964345241","0.7649735964345241","0.7649735964345241","0.7716282645838671","0.7716282645838671","0.7716282645838671","0.7701972683710169","0.7701972683710169","0.7701972683710169","0.7692342250998561","0.7692342250998561","0.7692342250998561","0.781194587349356","0.781194587349356","0.781194587349356"
"24","0.783758866667935","0.783758866667935","0.783758866667935","0.7606658908421245","0.7606658908421245","0.7606658908421245","0.7755853670443794","0.7755853670443794","0.7755853670443794","0.7743858817043954","0.7743858817043954","0.7743858817043954","0.7738141564646808","0.7738141564646808","0.7738141564646808","0.7550985625105666","0.7550985625105666","0.7550985625105666","0.7606705523966806","0.7606705523966806","0.7606705523966806","0.7683809052458648","0.7683809052458648","0.7683809052458648","0.7839983050600516","0.7839983050600516","0.7839983050600516","0.7683265501830582","0.7683265501830582","0.7683265501830582","0.7566605290818236","0.7566605290818236","0.7566605290818236","0.768808200255684","0.768808200255684","0.768808200255684"
"25","0.7712848800487172","0.7712848800487172","0.7712848800487172","0.7679081639418972","0.7679081639418972","0.7679081639418972","0.7795780704830954","0.7795780704830954","0.7795780704830954","0.7782105952569389","0.7782105952569389","0.7782105952569389","0.7663693910040007","0.7663693910040007","0.7663693910040007","0.7760376053408512","0.7760376053408512","0.7760376053408512","0.7753411952912458","0.7753411952912458","0.7753411952912458","0.7727393528972868","0.7727393528972868","0.7727393528972868","0.7586603095688922","0.7586603095688922","0.7586603095688922","0.7735610385971053","0.7735610385971053","0.7735610385971053","0.776974695671926","0.776974695671926","0.776974695671926","0.7897309459331343","0.7897309459331343","0.7897309459331343"
"26","0.7880731283330231","0.7880731283330231","0.7880731283330231","0.7672836962171441","0.7672836962171441","0.7672836962171441","0.7834589138104094","0.7834589138104094","0.7834589138104094","0.7888443183233359","0.7888443183233359","0.7888443183233359","0.7828999769630901","0.7828999769630901","0.7828999769630901","0.7881541662846542","0.7881541662846542","0.7881541662846542","0.776529895984846","0.776529895984846","0.776529895984846","0.7816969674877835","0.7816969674877835","0.7816969674877835","0.7896075320173066","0.7896075320173066","0.7896075320173066","0.7799655989739979","0.7799655989739979","0.7799655989739979","0.7773801396961239","0.7773801396961239","0.7773801396961239","0.7881820029322935","0.7881820029322935","0.7881820029322935"
"27","0.7859161683432462","0.7859161683432462","0.7859161683432462","0.7593781675236626","0.7593781675236626","0.7593781675236626","0.7838360240563375","0.7838360240563375","0.7838360240563375","0.7884139646977651","0.7884139646977651","0.7884139646977651","0.785567056033273","0.785567056033273","0.785567056033273","0.796468680647049","0.796468680647049","0.796468680647049","0.7727425111293225","0.7727425111293225","0.7727425111293225","0.7697421360660986","0.7697421360660986","0.7697421360660986","0.7850083712261278","0.7850083712261278","0.7850083712261278","0.7688563863428561","0.7688563863428561","0.7688563863428561","0.7834219832656771","0.7834219832656771","0.7834219832656771","0.7804708582401172","0.7804708582401172","0.7804708582401172"
"28","0.7920631574288354","0.7920631574288354","0.7920631574288354","0.7723162532582925","0.7723162532582925","0.7723162532582925","0.7885305510895924","0.7885305510895924","0.7885305510895924","0.8021854548351066","0.8021854548351066","0.8021854548351066","0.7808599215274379","0.7808599215274379","0.7808599215274379","0.7850736586045363","0.7850736586045363","0.7850736586045363","0.7784244482575656","0.7784244482575656","0.7784244482575656","0.7703844786964649","0.7703844786964649","0.7703844786964649","0.7829636694558813","0.7829636694558813","0.7829636694558813","0.7848887919536338","0.7848887919536338","0.7848887919536338","0.7783507125205886","0.7783507125205886","0.7783507125205886","0.7997041343985238","0.7997041343985238","0.7997041343985238"
"29","0.7968190922623247","0.7968190922623247","0.7968190922623247","0.7837725294795356","0.7837725294795356","0.7837725294795356","0.7883192782722397","0.7883192782722397","0.7883192782722397","0.7945295712554182","0.7945295712554182","0.7945295712554182","0.781513084890214","0.781513084890214","0.781513084890214","0.7831769605016464","0.7831769605016464","0.7831769605016464","0.7778556410935468","0.7778556410935468","0.7778556410935468","0.7804697043276813","0.7804697043276813","0.7804697043276813","0.791721901267775","0.791721901267775","0.791721901267775","0.7772601842356953","0.7772601842356953","0.7772601842356953","0.7736880176614087","0.7736880176614087","0.7736880176614087","0.7785204954975082","0.7785204954975082","0.7785204954975082"
