,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
RRS1,37,0.9410690987432323,8,-1.3522526154222598
THOC2,37,0.9822094069944843,34,-1.9792668350166174
POLR2G,37,0.9864441290632023,30,-1.6266611414311
POLR2E,37,0.9796503578220402,22,-1.6184325139048092
POLR2I,37,0.9870351434827922,34,-2.0343871311428003
CARS1,37,0.9861146136447114,28,-1.8055396920602125
ECD,37,0.9842501669316677,33,-1.9465868069447183
IK,37,0.9730969769460661,18,-1.5058571394778801
VARS1,37,0.9871418137808106,26,-1.6575077100045632
RPS16,37,0.9900164077947804,37,-2.0116771208933364
FAU,37,0.9887071960681192,37,-2.735062288821171
PSMA6,37,0.9895401833293672,37,-2.737570399649417
RFC3,37,0.9797713208842922,23,-1.5345669164437339
RPS6,37,0.9841288951066163,36,-2.3514541816948475
HAUS7,37,0.9692902565002441,19,-1.5391999295957406
UBL5,37,0.9888953222884788,37,-2.886516551503438
UTP15,37,0.9867587503012237,27,-1.630830527992978
NEDD1,37,0.9838718959877082,34,-1.9354561268372878
EIF1AX,37,0.971874529713983,24,-1.6499957788518302
CHMP6,37,0.9808391606485519,30,-1.7337865407467947
SDE2,37,0.9825173090170094,34,-1.77153981564885
PSMC6,37,0.9916282000842397,34,-1.8901634002315464
NUF2,37,0.9793782481202132,26,-1.6522138294235686
CDC20,37,0.9904187557933568,37,-2.356068526021695
KIN,37,0.9503491708824228,11,-1.3497432302786216
RPS17,37,0.9676379937309403,11,-1.4301046594949152
POLR2D,37,0.9823932706772746,33,-1.9963398889220307
FARSB,37,0.9867518855644777,34,-1.9398646443258287
CHMP2A,37,0.9902342343115589,37,-2.2858614143395473
PUF60,37,0.9822401640651461,37,-2.774891405697109
SF3A2,37,0.967563052435179,25,-1.6083578840008639
CCT3,37,0.988856484761109,34,-2.087645559835257
RPA3,37,0.9870346038191169,36,-2.2686304971075613
ANAPC2,37,0.9336990335503141,20,-1.5255031281583573
SNRNP35,37,0.980488832469459,25,-1.6370388044724784
POLR1C,37,0.9858796682443706,37,-1.930425017465551
NARS1,37,0.9821061309393461,29,-1.833383927535332
POLR3A,37,0.9824078023970665,34,-2.1820923505480305
NAA50,37,0.9836334972768215,28,-1.7409447182190858
SRSF2,37,0.983915032030226,37,-2.7205514868813756
EIF2S3,37,0.9806088735391427,34,-1.872992233773013
TOP2A,37,0.9900660090618305,35,-2.248572656515154
SOD1,37,0.9693706390020009,13,-1.2998985274249524
EIF2B2,37,0.9792131958781062,23,-1.5922275934778316
LYRM4,37,0.976231636764767,20,-1.5902074211696657
CTDP1,37,0.9933232009947836,34,-1.8781563852244367
LRR1,37,0.9851162535650235,37,-2.5213143466715406
GINS1,37,0.9896097521524172,37,-2.2720249079403447
CLP1,37,0.9698441780365267,25,-1.6461680568298427
RPS18,37,0.9897704247955804,36,-2.7060584045006677
HEATR1,37,0.9760898072440346,26,-1.8023307716401171
EIF2S2,37,0.9751897030048543,22,-1.5582215830599395
PRPF19,37,0.9843292735718394,37,-2.6246546503713257
TRMT112,37,0.9845726108765818,36,-2.011269794549058
PABPN1,37,0.9793515361107149,24,-1.5660390377391675
CDC27,37,0.9865461040187526,37,-2.8914365275604967
HAUS6,37,0.9162851913018271,8,-1.3276541401651245
MAK16,37,0.9790879316158122,33,-1.775116680885517
CDC5L,37,0.9851512264561009,32,-1.951468027863127
NIFK,37,0.9813146021989014,33,-1.8689406556129409
BUB3,37,0.9898821217519742,37,-2.4366314343639437
EIF3B,37,0.9823038368611721,35,-2.000575188694984
CDC16,37,0.9862924551104639,36,-2.377527372465147
TARS1,37,0.9809368333301031,26,-1.7158157676550123
CPSF4,37,0.981462329357594,32,-1.9028284528851394
SF3A1,37,0.9809501337575481,19,-1.497048778469106
ORC6,37,0.9859054292644468,36,-2.2210142366331174
ATP6V0C,37,0.9842255373258848,36,-2.4237801244891437
TONSL,37,0.9848564739699839,34,-1.8950688939188256
HSPE1,37,0.9880291083911514,37,-3.563179223306707
YARS2,37,0.9592372592505035,12,-1.2615628102418335
GSPT1,37,0.9803045290010469,20,-1.4481672424975152
DAD1,37,0.9818058851602917,33,-1.9940652113922586
RNPC3,37,0.9775402680173652,24,-1.6829340438746894
DYNC1H1,37,0.9695649136294114,25,-1.5459737474568989
YBX1,37,0.9624683271657238,23,-1.6763198705237041
RPS27A,37,0.984067154360247,37,-2.3450475946352
POLR2L,37,0.9837335750863359,37,-2.9539792085576773
POLR2H,37,0.9800956179429821,25,-1.5720545292816706
PSMB6,37,0.9844977759026192,33,-2.1819582334098944
THOC3,37,0.9798130210455475,27,-1.6904903147523505
WDR43,37,0.9875965236543538,37,-2.2386666937641375
GINS4,37,0.9679614326975368,11,-1.35446855003132
EIF4A3,37,0.9835064325246724,37,-2.448165279666394
CDT1,37,0.9899173357465247,34,-1.92501830477974
BANF1,37,0.9830364144600189,36,-2.251166114702805
GPN1,37,0.9870904324290988,25,-1.644946274972579
CDC23,37,0.98683348217526,37,-2.341479089326483
SNRPG,37,0.9751958063056876,21,-1.972280138952013
PMPCB,37,0.9763166571522619,30,-1.6995993234242068
H3-3A,37,0.9710614622176231,20,-1.8342974644569845
UTP4,37,0.9797859691284798,28,-1.7997079659999056
EPRS1,37,0.9809308954187341,32,-1.7756049522145587
DNAJC9,37,0.934827688578013,20,-1.6439858697163836
PRPF8,37,0.9810957151490289,31,-1.860811497693171
RBMX,37,0.9749828319291809,31,-1.7878863428237388
RUVBL2,37,0.9851702682606811,35,-2.1236045065574927
UPF2,37,0.9651821663787772,16,-1.4196292852833232
TICRR,37,0.9806473614933255,34,-1.790425737300226
DDB1,37,0.992612831764393,31,-1.7884048144402236
BUD23,37,0.9445791743897103,15,-1.4872969061668606
DDX49,37,0.9822734105694403,28,-1.6270200472299015
COPA,37,0.9762759541606043,34,-1.9944488771564088
RPS8,37,0.9872030100306949,37,-3.0800921292240475
LSM8,37,0.9530869491465456,14,-1.3689879159393366
EIF3I,37,0.9769498136666446,24,-1.6274021952569726
DYNC1I2,37,0.9626539075696791,26,-1.6379650816561837
NAT10,37,0.8506063424923398,5,-1.2323903346348255
CDK9,37,0.9652476396646587,15,-1.433053065269816
SNRPF,37,0.9846178695962235,37,-3.073162211403158
EFTUD2,37,0.970627061418585,29,-1.7648302259578315
CCND1,37,0.9777292625324148,29,-1.9895068288677353
SNRPB,37,0.9802398617203171,34,-1.87754550864265
POLD3,37,0.9682644745251081,24,-1.657130423863521
INTS9,37,0.9836087688669427,28,-1.6751566219318021
IMP3,37,0.9685203776703225,20,-1.5598020464919393
